0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:15:31 +0530] "GET /VehicleRental1/RegisteredC/payment.jsp?vid=28&description=Suv+type+vehicle&amt=auto&passengers=5&rental=76000&ftype=P&brand=Mitsubishi&tradeName=Montero HTTP/1.1" 200 11793
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:15:31 +0530] "GET /VehicleRental1/styles/payment.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:00 +0530] "POST /VehicleRental1/PaymentServlet HTTP/1.1" 500 6805
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:00 +0530] "GET /styles/header.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:00 +0530] "GET /VehicleRental1/JS/BookC_Success.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:07 +0530] "GET /VehicleRental1/RegisteredC/myR(refresh).jsp HTTP/1.1" 200 6805
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:07 +0530] "GET /VehicleRental1/RegisteredC/styles/viewV.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:07 +0530] "GET /VehicleRental1/RegisteredC/images/cars/poshe_jeep.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:07 +0530] "GET /VehicleRental1/RegisteredC/JS/BookC_Success.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:09 +0530] "POST /VehicleRental1/ReservationsServlet HTTP/1.1" 200 6562
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:09 +0530] "GET /styles/header.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:09 +0530] "GET /VehicleRental1/JS/BookC_Success.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:12 +0530] "POST /VehicleRental1/DeleteBookingServlet HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:16 +0530] "GET /VehicleRental1/RegisteredC/myR(refresh).jsp HTTP/1.1" 200 6805
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:16 +0530] "GET /VehicleRental1/RegisteredC/styles/viewV.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:16 +0530] "GET /VehicleRental1/RegisteredC/images/cars/poshe_jeep.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:16 +0530] "GET /VehicleRental1/RegisteredC/JS/BookC_Success.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:17 +0530] "POST /VehicleRental1/ReservationsServlet HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:17 +0530] "GET /VehicleRental1/JS/BookC_Success.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [10/Nov/2024:22:16:17 +0530] "GET /styles/header.css HTTP/1.1" 404 773
